"Market order: O00001, 09:30:00, BUY, 100"
"Add limit order: O00445, 09:42:54, BUY, 200, $ 26.67"
"Add limit order: O00446, 09:42:55, SELL, 300, $ 38.37"
"Add limit order: O00447, 09:42:56, BUY, 100, $ 27.14"
"Market order: O00448, 09:42:57, SELL, 100"
"Add limit order: O00449, 09:42:58, BUY, 700, $ 34.46"
"Add limit order: O00450, 09:43:00, BUY, 100, $ 31.51"
"Market order: O00451, 09:43:01, BUY, 200"
"Add limit order: O00452, 09:43:05, SELL, 500, $ 35.81"
"Add limit order: O00453, 09:43:06, SELL, 200, $ 36.37"
"Add limit order: O00454, 09:43:07, SELL, 700, $ 43.73"
"Add limit order: O00455, 09:43:09, SELL, 100, $ 40.84"
"Cancel: O00068, 09:32:13, SELL, 800, $ 43.77"
"Add limit order: O00456, 09:43:13, BUY, 600, $ 30.74"
"Market order: O00457, 09:43:14, SELL, 100"
"Add limit order: O00458, 09:43:15, BUY, 700, $ 32.85"
"Add limit order: O00459, 09:43:19, BUY, 400, $ 25.77"
"Add limit order: O00460, 09:43:20, SELL, 500, $ 39.97"
"Market order: O00461, 09:43:21, SELL, 400"
"Market order: O00462, 09:43:23, SELL, 400"
"Market order: O00463, 09:43:24, SELL, 400"
"Add limit order: O00464, 09:43:28, SELL, 100, $ 39.18"
"Market order: O00465, 09:43:29, BUY, 200"
"Market order: O00466, 09:43:31, SELL, 200"
"Market order: O00467, 09:43:34, SELL, 500"
"Market order: O00468, 09:43:36, BUY, 500"
"Add limit order: O00469, 09:43:37, BUY, 800, $ 29.59"
"Add limit order: O00470, 09:43:39, BUY, 400, $ 26.05"
"Market order: O00471, 09:43:40, BUY, 600"
"Market order: O00472, 09:43:46, SELL, 600"
"Add limit order: O00473, 09:43:47, SELL, 900, $ 44.11"
"Market order: O00474, 09:43:48, SELL, 600"
"Add limit order: O00475, 09:43:50, BUY, 700, $ 31.39"
"Add limit order: O00476, 09:43:53, SELL, 700, $ 41.14"
"Add limit order: O00477, 09:43:55, BUY, 600, $ 34.85"
"Add limit order: O00478, 09:43:56, SELL, 300, $ 42.24"
"Add limit order: O00479, 09:43:57, SELL, 200, $ 42.24"
"Add limit order: O00480, 09:43:59, BUY, 200, $ 31.18"
"Market order: O00481, 09:44:01, BUY, 600"
"Market order: O00482, 09:44:02, SELL, 100"
"Add limit order: O00483, 09:44:03, BUY, 200, $ 31.97"
"Add limit order: O00484, 09:44:04, SELL, 500, $ 35.49"
"Add limit order: O00485, 09:44:06, SELL, 700, $ 41.0"
"Market order: O00486, 09:44:07, BUY, 600"
"Add limit order: O00487, 09:44:08, SELL, 400, $ 37.73"
"Market order: O00488, 09:44:10, BUY, 300"
"Market order: O00489, 09:44:11, SELL, 600"
"Market order: O00490, 09:44:13, BUY, 200"
"Add limit order: O00491, 09:44:14, BUY, 700, $ 25.53"
"Add limit order: O00492, 09:44:17, SELL, 400, $ 43.47"
"Add limit order: O00493, 09:44:18, SELL, 600, $ 42.43"
"Market order: O00494, 09:44:19, SELL, 400"
"Add limit order: O00495, 09:44:21, SELL, 300, $ 37.25"
"Market order: O00496, 09:44:22, BUY, 200"
"Market order: O00497, 09:44:25, BUY, 300"
"Market order: O00498, 09:44:26, SELL, 800"
"Add limit order: O00499, 09:44:27, SELL, 700, $ 40.56"
"Market order: O00500, 09:44:28, BUY, 200"
"Add limit order: O00501, 09:44:29, SELL, 900, $ 42.55"
"Add limit order: O00502, 09:44:30, SELL, 200, $ 43.9"
"Market order: O00503, 09:44:31, SELL, 300"
"Market order: O00504, 09:44:33, BUY, 700"
"Add limit order: O00505, 09:44:36, SELL, 500, $ 40.35"
"Market order: O00506, 09:44:37, BUY, 100"
"Market order: O00507, 09:44:42, BUY, 100"
"Add limit order: O00508, 09:44:43, SELL, 500, $ 36.61"
"Add limit order: O00509, 09:44:44, SELL, 200, $ 39.41"
"Market order: O00510, 09:44:45, SELL, 900"
"Market order: O00511, 09:44:46, BUY, 100"
"Market order: O00512, 09:44:49, BUY, 500"
"Add limit order: O00513, 09:44:50, SELL, 700, $ 41.74"
"Market order: O00514, 09:44:51, SELL, 100"
"Market order: O00515, 09:44:52, BUY, 100"
"Add limit order: O00516, 09:44:56, BUY, 500, $ 33.68"
"Market order: O00517, 09:44:57, BUY, 200"
"Market order: O00518, 09:44:58, SELL, 600"
"Market order: O00519, 09:45:00, SELL, 100"
"Add limit order: O00520, 09:45:01, BUY, 100, $ 27.52"
"Add limit order: O00521, 09:45:06, BUY, 400, $ 25.31"
"Market order: O00522, 09:45:07, BUY, 400"
"Market order: O00523, 09:45:08, BUY, 600"
"Cancel: O00208, 09:36:14, BUY, 100, $ 26.01"
"Add limit order: O00524, 09:45:11, BUY, 600, $ 25.46"
"Market order: O00525, 09:45:13, SELL, 400"
"Add limit order: O00526, 09:45:16, BUY, 200, $ 27.46"
"Market order: O00527, 09:45:18, BUY, 100"
"Add limit order: O00528, 09:45:19, BUY, 500, $ 31.68"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Add limit order: O00529, 09:45:25, SELL, 500, $ 37.67"
"Add limit order: O00530, 09:45:26, BUY, 400, $ 31.71"
"Add limit order: O00531, 09:45:28, BUY, 300, $ 30.89"
"Market order: O00532, 09:45:29, BUY, 100"
"Market order: O00533, 09:45:30, SELL, 600"
"Cancel: O00382, 09:41:10, SELL, 300, $ 44.14"
"Market order: O00534, 09:45:36, BUY, 200"
"Market order: O00535, 09:45:37, SELL, 200"
"Add limit order: O00536, 09:45:40, BUY, 100, $ 28.69"
"Market order: O00537, 09:45:41, BUY, 100"
"Add limit order: O00538, 09:45:45, SELL, 600, $ 36.92"
"Add limit order: O00539, 09:45:46, SELL, 400, $ 36.97"
"Add limit order: O00540, 09:45:47, SELL, 600, $ 36.8"
"Add limit order: O00541, 09:45:48, BUY, 100, $ 25.12"
"Add limit order: O00542, 09:45:51, BUY, 200, $ 33.79"
"Market order: O00543, 09:45:52, SELL, 200"
"Add limit order: O00544, 09:45:53, SELL, 200, $ 40.32"
"Market order: O00545, 09:45:55, BUY, 100"
"Market order: O00546, 09:45:56, SELL, 200"
"Add limit order: O00547, 09:45:58, SELL, 700, $ 39.12"
"Add limit order: O00548, 09:46:02, SELL, 300, $ 38.11"
"Add limit order: O00549, 09:46:03, SELL, 600, $ 41.63"
"Add limit order: O00550, 09:46:04, SELL, 100, $ 39.86"
"Market order: O00551, 09:46:06, SELL, 500"
"Market order: O00552, 09:46:07, BUY, 300"
"Add limit order: O00553, 09:46:09, SELL, 300, $ 37.99"
"Market order: O00554, 09:46:10, SELL, 400"
"Add limit order: O00555, 09:46:11, SELL, 200, $ 44.69"
"Add limit order: O00556, 09:46:12, BUY, 300, $ 28.2"
"Market order: O00557, 09:46:13, SELL, 600"
"Add limit order: O00558, 09:46:18, SELL, 200, $ 38.0"
"Market order: O00559, 09:46:19, BUY, 400"
"Market order: O00560, 09:46:20, SELL, 300"
"Add limit order: O00561, 09:46:21, BUY, 500, $ 30.56"
"Add limit order: O00562, 09:46:22, SELL, 200, $ 35.35"
"Market order: O00563, 09:46:23, BUY, 900"
"Market order: O00564, 09:46:25, BUY, 700"
"Market order: O00565, 09:46:26, BUY, 100"
"Market order: O00566, 09:46:27, SELL, 200"
"Add limit order: O00567, 09:46:28, SELL, 900, $ 35.12"
"Add limit order: O00568, 09:46:29, BUY, 300, $ 33.72"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Add limit order: O00569, 09:46:32, BUY, 400, $ 25.8"
"Add limit order: O00570, 09:46:33, BUY, 600, $ 27.76"
"Add limit order: O00571, 09:46:35, BUY, 300, $ 29.09"
"Add limit order: O00572, 09:46:36, BUY, 500, $ 33.26"
"Add limit order: O00573, 09:46:38, BUY, 300, $ 34.17"
"Market order: O00574, 09:46:40, BUY, 100"
"Market order: O00575, 09:46:41, BUY, 300"
"Add limit order: O00576, 09:46:42, SELL, 100, $ 35.27"
"Add limit order: O00577, 09:46:43, BUY, 900, $ 32.99"
"Cancel: O00002, 09:30:02, BUY, 400, $ 27.84"
"Market order: O00578, 09:46:45, SELL, 200"
"Add limit order: O00579, 09:46:47, SELL, 300, $ 40.81"
"Market order: O00580, 09:46:49, BUY, 100"
"Add limit order: O00581, 09:46:51, SELL, 600, $ 41.13"
"Add limit order: O00582, 09:46:56, SELL, 100, $ 41.71"
"Market order: O00583, 09:46:57, SELL, 100"
"Add limit order: O00584, 09:46:59, BUY, 600, $ 32.64"
"Add limit order: O00585, 09:47:00, SELL, 500, $ 42.55"
"Add limit order: O00586, 09:47:01, BUY, 200, $ 26.21"
"Market order: O00587, 09:47:02, BUY, 200"
"Add limit order: O00588, 09:47:06, SELL, 100, $ 36.75"
"Add limit order: O00589, 09:47:08, SELL, 700, $ 38.2"
"Market order: O00590, 09:47:10, SELL, 600"
"Add limit order: O00591, 09:47:12, SELL, 400, $ 38.22"
"Market order: O00592, 09:47:13, BUY, 200"
"Market order: O00593, 09:47:14, SELL, 300"
"Market order: O00594, 09:47:15, BUY, 400"
"Market order: O00595, 09:47:16, SELL, 300"
"Add limit order: O00596, 09:47:17, BUY, 200, $ 31.14"
"Add limit order: O00597, 09:47:19, SELL, 200, $ 42.56"
"Market order: O00598, 09:47:20, BUY, 200"
"Market order: O00599, 09:47:21, SELL, 100"
"Market order: O00600, 09:47:23, BUY, 200"
"Cancel: O00027, 09:30:50, BUY, 200, $ 27.59"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Add limit order: O00601, 09:47:26, SELL, 300, $ 39.63"
"Market order: O00602, 09:47:29, BUY, 200"
"Market order: O00603, 09:47:30, BUY, 900"
"Add limit order: O00604, 09:47:31, SELL, 600, $ 42.98"
"Market order: O00605, 09:47:32, SELL, 600"
"Add limit order: O00606, 09:47:34, BUY, 300, $ 29.89"
"Add limit order: O00607, 09:47:36, BUY, 300, $ 26.92"
"Market order: O00608, 09:47:37, BUY, 600"
"Add limit order: O00609, 09:47:38, SELL, 500, $ 42.14"
"Market order: O00610, 09:47:39, SELL, 300"
"Market order: O00611, 09:47:40, BUY, 200"
"Market order: O00612, 09:47:41, BUY, 300"
"Market order: O00613, 09:47:42, SELL, 300"
"Market order: O00614, 09:47:43, BUY, 300"
"Cancel: O00586, 09:47:01, BUY, 200, $ 26.21"
"Add limit order: O00615, 09:47:47, SELL, 200, $ 38.33"
"Add limit order: O00616, 09:47:48, SELL, 600, $ 40.53"
"Market order: O00617, 09:47:50, BUY, 300"
"Add limit order: O00618, 09:47:51, SELL, 200, $ 41.38"
"Add limit order: O00619, 09:47:52, BUY, 400, $ 31.93"
"Add limit order: O00620, 09:47:55, SELL, 600, $ 43.01"
"Market order: O00621, 09:47:56, SELL, 400"
"Add limit order: O00622, 09:47:57, SELL, 300, $ 38.91"
"Add limit order: O00623, 09:47:59, BUY, 200, $ 28.81"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Cancel: O00109, 09:33:25, SELL, 400, $ 43.55"
"Add limit order: O00624, 09:48:03, BUY, 300, $ 29.42"
"Cancel: O00198, 09:35:59, BUY, 800, $ 27.3"
"Add limit order: O00625, 09:48:05, SELL, 200, $ 42.69"
"Add limit order: O00626, 09:48:07, BUY, 500, $ 28.69"
"Add limit order: O00627, 09:48:08, SELL, 600, $ 37.75"
"Add limit order: O00628, 09:48:09, SELL, 700, $ 39.18"
"Cancel: O00502, 09:44:30, SELL, 200, $ 43.9"
"Add limit order: O00629, 09:48:14, BUY, 300, $ 27.44"
"Market order: O00630, 09:48:16, SELL, 300"
"Market order: O00631, 09:48:17, BUY, 500"
"Add limit order: O00632, 09:48:18, SELL, 300, $ 40.94"
"Add limit order: O00633, 09:48:19, SELL, 900, $ 43.48"
"Market order: O00634, 09:48:20, BUY, 300"
"Market order: O00635, 09:48:21, SELL, 900"
"Add limit order: O00636, 09:48:25, BUY, 200, $ 27.23"
"Add limit order: O00637, 09:48:27, BUY, 400, $ 33.37"
"Add limit order: O00638, 09:48:28, BUY, 100, $ 29.84"
"Market order: O00639, 09:48:29, BUY, 500"
"Cancel: O00521, 09:45:06, BUY, 400, $ 25.31"
"Add limit order: O00640, 09:48:31, SELL, 100, $ 41.43"
"Cancel: O00620, 09:47:55, SELL, 600, $ 43.01"
"Add limit order: O00641, 09:48:34, BUY, 500, $ 28.08"
"Add limit order: O00642, 09:48:35, BUY, 100, $ 29.59"
"Market order: O00643, 09:48:36, SELL, 700"
"Add limit order: O00644, 09:48:38, SELL, 600, $ 37.81"
"Market order: O00645, 09:48:39, SELL, 300"
"Add limit order: O00646, 09:48:40, BUY, 300, $ 31.26"
"Market order: O00647, 09:48:43, SELL, 100"
"Add limit order: O00648, 09:48:44, BUY, 600, $ 26.45"
"Add limit order: O00649, 09:48:45, BUY, 500, $ 25.24"
"Add limit order: O00650, 09:48:47, BUY, 500, $ 27.6"
"Add limit order: O00651, 09:48:51, SELL, 600, $ 41.53"
"Add limit order: O00652, 09:48:55, SELL, 400, $ 38.83"
"Market order: O00653, 09:48:57, BUY, 100"
"Add limit order: O00654, 09:48:58, SELL, 100, $ 39.51"
"Add limit order: O00655, 09:49:00, BUY, 200, $ 26.16"
"Market order: O00656, 09:49:01, BUY, 400"
"Add limit order: O00657, 09:49:02, SELL, 100, $ 43.67"
"Add limit order: O00658, 09:49:05, SELL, 600, $ 37.25"
"Add limit order: O00659, 09:49:07, SELL, 200, $ 35.5"
"Market order: O00660, 09:49:08, SELL, 600"
"Add limit order: O00661, 09:49:09, SELL, 200, $ 35.58"
"Cancel: O00204, 09:36:08, BUY, 500, $ 27.11"
"Add limit order: O00662, 09:49:15, BUY, 600, $ 28.15"
"Market order: O00663, 09:49:16, BUY, 600"
"Add limit order: O00664, 09:49:18, BUY, 600, $ 28.75"
"Cancel: O00445, 09:42:54, BUY, 200, $ 26.67"
"Add limit order: O00665, 09:49:20, SELL, 200, $ 39.78"
"Add limit order: O00666, 09:49:21, SELL, 600, $ 43.01"
"Add limit order: O00667, 09:49:22, SELL, 300, $ 35.26"
"Market order: O00668, 09:49:25, BUY, 300"
"Market order: O00669, 09:49:26, SELL, 400"
"Market order: O00670, 09:49:27, SELL, 400"
"Add limit order: O00671, 09:49:28, SELL, 100, $ 40.95"
"Market order: O00672, 09:49:30, BUY, 600"
"Market order: O00673, 09:49:33, BUY, 500"
"Market order: O00674, 09:49:35, BUY, 300"
"Add limit order: O00675, 09:49:36, SELL, 100, $ 44.04"
"Add limit order: O00676, 09:49:37, BUY, 200, $ 34.57"
"Add limit order: O00677, 09:49:39, SELL, 200, $ 42.65"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Cancel: O00216, 09:36:26, SELL, 400, $ 43.66"
"Market order: O00678, 09:49:43, SELL, 200"
"Market order: O00679, 09:49:44, SELL, 700"
"Add limit order: O00680, 09:49:46, SELL, 400, $ 40.98"
"Add limit order: O00681, 09:49:50, BUY, 200, $ 32.27"
"Add limit order: O00682, 09:49:51, BUY, 300, $ 30.19"
"Add limit order: O00683, 09:49:52, BUY, 300, $ 33.57"
"Add limit order: O00684, 09:49:53, SELL, 600, $ 38.32"
"Market order: O00685, 09:49:58, SELL, 200"
"Add limit order: O00686, 09:49:59, BUY, 600, $ 29.41"
"Market order: O00687, 09:50:00, BUY, 200"
"Add limit order: O00688, 09:50:02, BUY, 200, $ 34.04"
"Add limit order: O00689, 09:50:03, BUY, 300, $ 27.75"
"Add limit order: O00690, 09:50:04, BUY, 100, $ 32.98"
"Market order: O00691, 09:50:06, BUY, 100"
"Market order: O00692, 09:50:07, SELL, 400"
"Market order: O00693, 09:50:09, BUY, 500"
"Market order: O00694, 09:50:11, BUY, 300"
"Market order: O00695, 09:50:14, BUY, 600"
"Add limit order: O00696, 09:50:16, SELL, 900, $ 44.22"
"Add limit order: O00697, 09:50:18, BUY, 200, $ 30.28"
"Add limit order: O00698, 09:50:21, SELL, 700, $ 39.63"
"Add limit order: O00699, 09:50:23, SELL, 600, $ 39.06"
"Add limit order: O00700, 09:50:24, BUY, 500, $ 34.28"
"Cancel: O00106, 09:33:22, BUY, 200, $ 27.11"
"Add limit order: O00701, 09:50:28, BUY, 100, $ 32.44"
"Add limit order: O00702, 09:50:33, SELL, 600, $ 42.73"
"Market order: O00703, 09:50:34, SELL, 700"
"Add limit order: O00704, 09:50:35, SELL, 300, $ 36.23"
"Add limit order: O00705, 09:50:36, BUY, 100, $ 25.5"
"Market order: O00706, 09:50:38, BUY, 500"
"Market order: O00707, 09:50:39, SELL, 200"
"Add limit order: O00708, 09:50:40, SELL, 400, $ 37.58"
"Add limit order: O00709, 09:50:42, BUY, 700, $ 34.39"
"Market order: O00710, 09:50:43, SELL, 100"
"Cancel: O00213, 09:36:22, SELL, 100, $ 44.08"
"Add limit order: O00711, 09:50:46, SELL, 500, $ 36.62"
"Add limit order: O00712, 09:50:47, SELL, 500, $ 42.21"
"Add limit order: O00713, 09:50:48, SELL, 800, $ 41.7"
"Market order: O00714, 09:50:49, BUY, 500"
"Market order: O00715, 09:50:50, SELL, 300"
"Add limit order: O00716, 09:50:51, SELL, 300, $ 39.15"
"Market order: O00717, 09:50:52, SELL, 500"
"Add limit order: O00718, 09:50:54, SELL, 500, $ 42.97"
"Market order: O00719, 09:50:55, SELL, 800"
"Market order: O00720, 09:50:56, BUY, 100"
"Add limit order: O00721, 09:50:57, SELL, 200, $ 42.85"
"Cancel: O00368, 09:40:40, BUY, 200, $ 26.14"
"Market order: O00722, 09:51:04, BUY, 200"
"Cancel: O00027, 09:30:50, BUY, 200, $ 27.59"
"Market order: O00723, 09:51:11, BUY, 100"
"Market order: O00724, 09:51:12, SELL, 200"
"Market order: O00725, 09:51:14, BUY, 700"
"Market order: O00726, 09:51:15, BUY, 300"
"Add limit order: O00727, 09:51:18, SELL, 700, $ 38.04"
"Add limit order: O00728, 09:51:20, BUY, 500, $ 25.6"
"Add limit order: O00729, 09:51:21, SELL, 500, $ 44.53"
"Add limit order: O00730, 09:51:22, SELL, 500, $ 35.58"
"Market order: O00731, 09:51:23, BUY, 200"
"Market order: O00732, 09:51:24, BUY, 300"
"Add limit order: O00733, 09:51:25, SELL, 500, $ 44.59"
"Market order: O00734, 09:51:26, SELL, 300"
"Add limit order: O00735, 09:51:28, SELL, 500, $ 43.3"
"Add limit order: O00736, 09:51:29, BUY, 100, $ 33.12"
"Market order: O00737, 09:51:30, BUY, 600"
"Market order: O00738, 09:51:31, SELL, 500"
"Market order: O00739, 09:51:32, BUY, 400"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Market order: O00740, 09:51:35, SELL, 400"
"Market order: O00741, 09:51:36, SELL, 900"
"Add limit order: O00742, 09:51:37, SELL, 300, $ 43.07"
"Market order: O00743, 09:51:38, BUY, 400"
"Add limit order: O00744, 09:51:39, BUY, 300, $ 25.42"
"Add limit order: O00745, 09:51:40, SELL, 200, $ 42.22"
"Market order: O00746, 09:51:41, SELL, 900"
"Add limit order: O00747, 09:51:42, BUY, 400, $ 26.58"
"Add limit order: O00748, 09:51:43, SELL, 600, $ 40.03"
"Add limit order: O00749, 09:51:47, BUY, 400, $ 31.05"
"Add limit order: O00750, 09:51:50, BUY, 200, $ 32.61"
"Market order: O00751, 09:51:51, SELL, 700"
"Cancel: O00733, 09:51:25, SELL, 500, $ 44.59"
"Market order: O00752, 09:51:54, SELL, 600"
"Add limit order: O00753, 09:51:56, BUY, 700, $ 29.44"
"Add limit order: O00754, 09:51:57, SELL, 500, $ 41.14"
"Add limit order: O00755, 09:51:58, BUY, 900, $ 30.49"
"Add limit order: O00756, 09:51:59, SELL, 700, $ 45.0"
"Market order: O00757, 09:52:02, SELL, 900"
"Add limit order: O00758, 09:52:04, SELL, 700, $ 37.79"
"Add limit order: O00759, 09:52:05, BUY, 200, $ 30.07"
"Cancel: O00657, 09:49:02, SELL, 100, $ 43.67"
"Cancel: O00473, 09:43:47, SELL, 900, $ 44.11"
"Add limit order: O00760, 09:52:10, BUY, 800, $ 26.1"
"Add limit order: O00761, 09:52:12, SELL, 300, $ 44.39"
"Add limit order: O00762, 09:52:14, BUY, 900, $ 31.15"
"Add limit order: O00763, 09:52:15, SELL, 400, $ 43.02"
"Add limit order: O00764, 09:52:16, SELL, 200, $ 35.97"
"Add limit order: O00765, 09:52:18, BUY, 100, $ 30.17"
"Add limit order: O00766, 09:52:19, BUY, 700, $ 34.61"
"Add limit order: O00767, 09:52:20, SELL, 500, $ 37.24"
"Add limit order: O00768, 09:52:21, SELL, 500, $ 36.9"
"Add limit order: O00769, 09:52:22, SELL, 300, $ 44.59"
"Add limit order: O00770, 09:52:24, SELL, 400, $ 43.94"
"Add limit order: O00771, 09:52:26, BUY, 400, $ 30.55"
"Market order: O00772, 09:52:30, BUY, 400"
"Market order: O00773, 09:52:31, BUY, 400"
"Add limit order: O00774, 09:52:33, BUY, 900, $ 29.24"
"Add limit order: O00775, 09:52:35, SELL, 600, $ 43.4"
"Add limit order: O00776, 09:52:36, BUY, 400, $ 31.63"
"Market order: O00777, 09:52:37, BUY, 400"
"Market order: O00778, 09:52:39, SELL, 100"
"Market order: O00779, 09:52:41, SELL, 500"
"Add limit order: O00780, 09:52:43, SELL, 600, $ 39.08"
"Add limit order: O00781, 09:52:46, BUY, 300, $ 30.03"
"Market order: O00782, 09:52:47, SELL, 300"
"Add limit order: O00783, 09:52:48, SELL, 400, $ 43.3"
"Market order: O00784, 09:52:49, SELL, 300"
"Market order: O00785, 09:52:51, BUY, 600"
"Cancel: O00003, 09:30:03, SELL, 200, $ 44.03"
"Add limit order: O00786, 09:52:53, BUY, 400, $ 27.24"
"Market order: O00787, 09:52:54, SELL, 100"
"Add limit order: O00788, 09:52:55, BUY, 300, $ 30.95"
"Market order: O00789, 09:52:56, BUY, 600"
"Add limit order: O00790, 09:52:57, BUY, 500, $ 31.59"
"Market order: O00791, 09:52:58, SELL, 100"
"Market order: O00792, 09:52:59, BUY, 200"
"Cancel: O00027, 09:30:50, BUY, 200, $ 27.59"
"Market order: O00793, 09:53:02, BUY, 300"
"Market order: O00794, 09:53:03, BUY, 200"
"Add limit order: O00795, 09:53:05, SELL, 700, $ 36.5"
"Add limit order: O00796, 09:53:06, SELL, 600, $ 44.12"
"Market order: O00797, 09:53:07, BUY, 500"
"Add limit order: O00798, 09:53:08, SELL, 300, $ 40.52"
"Add limit order: O00799, 09:53:12, BUY, 700, $ 31.87"
"Add limit order: O00800, 09:53:14, SELL, 100, $ 38.48"
"Add limit order: O00801, 09:53:15, SELL, 100, $ 38.91"
"Add limit order: O00802, 09:53:17, BUY, 400, $ 28.34"
"Market order: O00803, 09:53:18, BUY, 400"
"Add limit order: O00804, 09:53:19, BUY, 700, $ 34.83"
"Market order: O00805, 09:53:20, BUY, 200"
"Add limit order: O00806, 09:53:21, BUY, 800, $ 34.31"
"Add limit order: O00807, 09:53:22, SELL, 200, $ 43.54"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Market order: O00808, 09:53:26, BUY, 500"
"Market order: O00809, 09:53:27, SELL, 200"
"Market order: O00810, 09:53:29, SELL, 100"
"Add limit order: O00811, 09:53:32, SELL, 100, $ 40.12"
"Add limit order: O00812, 09:53:33, BUY, 200, $ 34.11"
"Market order: O00813, 09:53:34, BUY, 400"
"Add limit order: O00814, 09:53:35, BUY, 500, $ 33.07"
"Market order: O00815, 09:53:36, SELL, 600"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Add limit order: O00816, 09:53:39, BUY, 200, $ 27.26"
"Cancel: O00092, 09:32:57, SELL, 300, $ 43.38"
"Add limit order: O00817, 09:53:43, SELL, 100, $ 40.83"
"Add limit order: O00818, 09:53:44, SELL, 100, $ 37.68"
"Add limit order: O00819, 09:53:45, SELL, 500, $ 43.83"
"Add limit order: O00820, 09:53:46, SELL, 200, $ 41.96"
"Add limit order: O00821, 09:53:49, SELL, 900, $ 41.69"
"Add limit order: O00822, 09:53:51, SELL, 400, $ 42.32"
"Add limit order: O00823, 09:53:52, BUY, 400, $ 27.36"
"Add limit order: O00824, 09:53:53, SELL, 800, $ 35.39"
"Add limit order: O00825, 09:53:54, BUY, 600, $ 29.38"
"Market order: O00826, 09:53:56, SELL, 100"
"Add limit order: O00827, 09:53:57, BUY, 300, $ 34.85"
"Add limit order: O00828, 09:54:00, BUY, 900, $ 31.27"
"Add limit order: O00829, 09:54:01, BUY, 200, $ 29.08"
"Add limit order: O00830, 09:54:03, BUY, 400, $ 34.25"
"Market order: O00831, 09:54:04, SELL, 200"
"Market order: O00832, 09:54:05, SELL, 600"
"Add limit order: O00833, 09:54:07, SELL, 300, $ 39.57"
"Add limit order: O00834, 09:54:08, BUY, 500, $ 34.49"
