"Market order: O00001, 09:30:01, BUY, 900"
"Market order: O00002, 09:30:05, SELL, 700"
"Market order: O00455, 09:43:41, BUY, 200"
"Market order: O00456, 09:43:42, SELL, 300"
"Add limit order: O00457, 09:43:43, BUY, 100, $ 30.01"
"Add limit order: O00458, 09:43:44, BUY, 600, $ 26.55"
"Cancel: O00018, 09:30:36, BUY, 600, $ 25.82"
"Add limit order: O00459, 09:43:49, BUY, 400, $ 30.51"
"Market order: O00460, 09:43:51, BUY, 500"
"Add limit order: O00461, 09:43:53, BUY, 400, $ 26.68"
"Add limit order: O00462, 09:43:54, SELL, 600, $ 43.59"
"Add limit order: O00463, 09:43:56, BUY, 200, $ 32.19"
"Add limit order: O00464, 09:43:57, SELL, 200, $ 36.6"
"Market order: O00465, 09:43:58, BUY, 900"
"Market order: O00466, 09:44:00, SELL, 100"
"Market order: O00467, 09:44:01, BUY, 200"
"Market order: O00468, 09:44:02, BUY, 400"
"Market order: O00469, 09:44:04, SELL, 700"
"Market order: O00470, 09:44:05, SELL, 600"
"Add limit order: O00471, 09:44:07, BUY, 800, $ 32.23"
"Market order: O00472, 09:44:08, SELL, 500"
"Add limit order: O00473, 09:44:10, BUY, 900, $ 26.49"
"Add limit order: O00474, 09:44:11, BUY, 200, $ 32.51"
"Add limit order: O00475, 09:44:14, BUY, 100, $ 30.6"
"Market order: O00476, 09:44:16, SELL, 600"
"Add limit order: O00477, 09:44:17, SELL, 300, $ 38.11"
"Market order: O00478, 09:44:19, SELL, 200"
"Add limit order: O00479, 09:44:20, SELL, 100, $ 43.31"
"Add limit order: O00480, 09:44:22, SELL, 800, $ 38.74"
"Market order: O00481, 09:44:23, BUY, 600"
"Market order: O00482, 09:44:27, SELL, 700"
"Market order: O00483, 09:44:28, BUY, 600"
"Add limit order: O00484, 09:44:29, SELL, 300, $ 36.45"
"Add limit order: O00485, 09:44:30, BUY, 600, $ 33.64"
"Market order: O00486, 09:44:31, BUY, 200"
"Add limit order: O00487, 09:44:33, BUY, 900, $ 29.32"
"Market order: O00488, 09:44:34, SELL, 700"
"Cancel: O00212, 09:36:08, BUY, 800, $ 25.02"
"Add limit order: O00489, 09:44:39, BUY, 200, $ 31.05"
"Add limit order: O00490, 09:44:40, SELL, 900, $ 40.38"
"Market order: O00491, 09:44:42, SELL, 100"
"Market order: O00492, 09:44:43, BUY, 300"
"Market order: O00493, 09:44:45, SELL, 400"
"Add limit order: O00494, 09:44:46, BUY, 500, $ 29.77"
"Cancel: O00036, 09:30:58, BUY, 300, $ 25.51"
"Add limit order: O00495, 09:44:48, SELL, 500, $ 38.41"
"Add limit order: O00496, 09:44:50, SELL, 400, $ 44.07"
"Market order: O00497, 09:44:51, BUY, 500"
"Add limit order: O00498, 09:44:53, SELL, 600, $ 42.59"
"Add limit order: O00499, 09:44:54, SELL, 700, $ 44.78"
"Add limit order: O00500, 09:44:55, SELL, 400, $ 37.03"
"Market order: O00501, 09:44:56, SELL, 300"
"Add limit order: O00502, 09:44:57, BUY, 200, $ 27.2"
"Market order: O00503, 09:44:59, BUY, 600"
"Add limit order: O00504, 09:45:00, SELL, 200, $ 39.77"
"Cancel: O00329, 09:39:41, SELL, 600, $ 43.2"
"Add limit order: O00505, 09:45:03, SELL, 400, $ 40.4"
"Add limit order: O00506, 09:45:05, BUY, 400, $ 26.4"
"Add limit order: O00507, 09:45:07, BUY, 700, $ 28.83"
"Market order: O00508, 09:45:09, SELL, 500"
"Market order: O00509, 09:45:12, SELL, 100"
"Add limit order: O00510, 09:45:13, BUY, 300, $ 33.82"
"Add limit order: O00511, 09:45:16, SELL, 100, $ 42.83"
"Add limit order: O00512, 09:45:17, BUY, 300, $ 30.65"
"Cancel: O00438, 09:42:57, BUY, 500, $ 26.46"
"Market order: O00513, 09:45:20, SELL, 400"
"Add limit order: O00514, 09:45:21, SELL, 100, $ 39.6"
"Add limit order: O00515, 09:45:22, SELL, 200, $ 40.17"
"Add limit order: O00516, 09:45:23, SELL, 900, $ 36.69"
"Market order: O00517, 09:45:24, BUY, 300"
"Add limit order: O00518, 09:45:27, BUY, 500, $ 29.07"
"Add limit order: O00519, 09:45:29, BUY, 900, $ 31.89"
"Market order: O00520, 09:45:30, BUY, 100"
"Add limit order: O00521, 09:45:33, BUY, 100, $ 31.12"
"Market order: O00522, 09:45:34, SELL, 300"
"Market order: O00523, 09:45:36, BUY, 100"
"Market order: O00524, 09:45:37, BUY, 200"
"Cancel: O00451, 09:43:25, SELL, 500, $ 44.82"
"Add limit order: O00525, 09:45:39, SELL, 400, $ 38.41"
"Market order: O00526, 09:45:40, BUY, 400"
"Add limit order: O00527, 09:45:41, BUY, 600, $ 28.67"
"Market order: O00528, 09:45:42, SELL, 700"
"Market order: O00529, 09:45:43, BUY, 100"
"Add limit order: O00530, 09:45:44, SELL, 300, $ 44.43"
"Cancel: O00251, 09:37:15, BUY, 800, $ 27.51"
"Add limit order: O00531, 09:45:47, SELL, 200, $ 37.11"
"Add limit order: O00532, 09:45:48, SELL, 200, $ 35.19"
"Market order: O00533, 09:45:53, SELL, 300"
"Add limit order: O00534, 09:45:54, BUY, 200, $ 30.65"
"Market order: O00535, 09:45:56, BUY, 100"
"Market order: O00536, 09:45:57, BUY, 700"
"Add limit order: O00537, 09:45:58, SELL, 100, $ 38.18"
"Add limit order: O00538, 09:46:00, SELL, 100, $ 35.23"
"Market order: O00539, 09:46:01, BUY, 600"
"Add limit order: O00540, 09:46:03, SELL, 900, $ 35.77"
"Add limit order: O00541, 09:46:04, SELL, 600, $ 36.23"
"Add limit order: O00542, 09:46:07, SELL, 400, $ 37.53"
"Market order: O00543, 09:46:08, BUY, 100"
"Add limit order: O00544, 09:46:10, BUY, 900, $ 26.93"
"Add limit order: O00545, 09:46:11, BUY, 300, $ 26.49"
"Add limit order: O00546, 09:46:13, SELL, 500, $ 41.74"
"Add limit order: O00547, 09:46:16, BUY, 800, $ 31.13"
"Market order: O00548, 09:46:17, SELL, 700"
"Add limit order: O00549, 09:46:18, BUY, 600, $ 27.91"
"Market order: O00550, 09:46:19, SELL, 200"
"Add limit order: O00551, 09:46:20, BUY, 300, $ 33.16"
"Market order: O00552, 09:46:21, BUY, 200"
"Add limit order: O00553, 09:46:22, SELL, 300, $ 37.5"
"Market order: O00554, 09:46:23, SELL, 100"
"Market order: O00555, 09:46:24, SELL, 600"
"Market order: O00556, 09:46:26, BUY, 100"
"Market order: O00557, 09:46:28, BUY, 200"
"Add limit order: O00558, 09:46:29, BUY, 600, $ 29.86"
"Add limit order: O00559, 09:46:30, SELL, 900, $ 40.91"
"Add limit order: O00560, 09:46:33, SELL, 100, $ 41.39"
"Add limit order: O00561, 09:46:34, SELL, 500, $ 37.6"
"Add limit order: O00562, 09:46:36, SELL, 500, $ 39.84"
"Add limit order: O00563, 09:46:38, SELL, 600, $ 43.61"
"Add limit order: O00564, 09:46:39, BUY, 300, $ 27.05"
"Market order: O00565, 09:46:43, BUY, 500"
"Cancel: O00544, 09:46:10, BUY, 900, $ 26.93"
"Market order: O00566, 09:46:46, BUY, 500"
"Market order: O00567, 09:46:47, BUY, 300"
"Add limit order: O00568, 09:46:48, BUY, 800, $ 29.49"
"Market order: O00569, 09:46:49, BUY, 200"
"Add limit order: O00570, 09:46:51, BUY, 200, $ 26.58"
"Add limit order: O00571, 09:46:52, SELL, 200, $ 36.99"
"Market order: O00572, 09:46:53, BUY, 900"
"Cancel: O00563, 09:46:38, SELL, 600, $ 43.61"
"Market order: O00573, 09:46:55, SELL, 600"
"Market order: O00574, 09:46:56, BUY, 700"
"Add limit order: O00575, 09:46:57, BUY, 200, $ 29.84"
"Market order: O00576, 09:46:58, BUY, 800"
"Add limit order: O00577, 09:46:59, SELL, 300, $ 38.0"
"Add limit order: O00578, 09:47:03, SELL, 600, $ 36.53"
"Add limit order: O00579, 09:47:04, SELL, 400, $ 40.45"
"Add limit order: O00580, 09:47:05, SELL, 400, $ 39.21"
"Add limit order: O00581, 09:47:08, SELL, 200, $ 40.12"
"Add limit order: O00582, 09:47:09, SELL, 100, $ 44.18"
"Add limit order: O00583, 09:47:10, BUY, 600, $ 27.58"
"Add limit order: O00584, 09:47:13, SELL, 100, $ 43.46"
"Add limit order: O00585, 09:47:14, SELL, 800, $ 41.67"
"Market order: O00586, 09:47:15, SELL, 600"
"Market order: O00587, 09:47:21, BUY, 600"
"Market order: O00588, 09:47:23, SELL, 200"
"Add limit order: O00589, 09:47:24, BUY, 400, $ 26.53"
"Add limit order: O00590, 09:47:27, BUY, 300, $ 27.06"
"Market order: O00591, 09:47:28, BUY, 400"
"Market order: O00592, 09:47:29, BUY, 400"
"Market order: O00593, 09:47:32, SELL, 300"
"Market order: O00594, 09:47:34, SELL, 500"
"Add limit order: O00595, 09:47:35, SELL, 900, $ 35.85"
"Add limit order: O00596, 09:47:37, SELL, 500, $ 35.45"
"Add limit order: O00597, 09:47:38, SELL, 400, $ 38.77"
"Add limit order: O00598, 09:47:41, SELL, 500, $ 36.8"
"Add limit order: O00599, 09:47:43, BUY, 600, $ 27.1"
"Cancel: O00082, 09:32:34, BUY, 500, $ 26.68"
"Add limit order: O00600, 09:47:46, BUY, 200, $ 34.4"
"Add limit order: O00601, 09:47:47, SELL, 600, $ 37.75"
"Add limit order: O00602, 09:47:49, SELL, 200, $ 41.08"
"Add limit order: O00603, 09:47:50, SELL, 300, $ 44.65"
"Add limit order: O00604, 09:47:53, SELL, 900, $ 43.02"
"Market order: O00605, 09:47:57, BUY, 600"
"Add limit order: O00606, 09:47:58, SELL, 100, $ 43.04"
"Market order: O00607, 09:47:59, SELL, 900"
"Add limit order: O00608, 09:48:00, BUY, 500, $ 29.27"
"Market order: O00609, 09:48:02, SELL, 200"
"Market order: O00610, 09:48:03, BUY, 500"
"Add limit order: O00611, 09:48:04, BUY, 300, $ 34.85"
"Market order: O00612, 09:48:05, BUY, 500"
"Add limit order: O00613, 09:48:06, SELL, 500, $ 43.76"
"Cancel: O00240, 09:36:57, SELL, 400, $ 43.08"
"Add limit order: O00614, 09:48:15, BUY, 700, $ 29.71"
"Market order: O00615, 09:48:16, SELL, 500"
"Cancel: O00171, 09:35:00, BUY, 700, $ 26.93"
"Add limit order: O00616, 09:48:20, SELL, 200, $ 39.95"
"Cancel: O00423, 09:42:27, BUY, 600, $ 26.34"
"Add limit order: O00617, 09:48:23, SELL, 600, $ 36.88"
"Add limit order: O00618, 09:48:24, SELL, 200, $ 44.99"
"Market order: O00619, 09:48:26, BUY, 700"
"Add limit order: O00620, 09:48:28, BUY, 600, $ 32.75"
"Market order: O00621, 09:48:29, SELL, 300"
"Market order: O00622, 09:48:32, BUY, 900"
"Market order: O00623, 09:48:35, BUY, 200"
"Market order: O00624, 09:48:36, SELL, 100"
"Market order: O00625, 09:48:37, SELL, 300"
"Add limit order: O00626, 09:48:38, SELL, 500, $ 37.48"
"Add limit order: O00627, 09:48:39, BUY, 200, $ 29.58"
"Add limit order: O00628, 09:48:40, SELL, 200, $ 44.67"
"Cancel: O00420, 09:42:24, SELL, 300, $ 44.56"
"Market order: O00629, 09:48:42, BUY, 300"
"Market order: O00630, 09:48:43, SELL, 300"
"Market order: O00631, 09:48:44, SELL, 100"
"Market order: O00632, 09:48:45, BUY, 400"
"Add limit order: O00633, 09:48:46, BUY, 900, $ 32.31"
"Market order: O00634, 09:48:47, BUY, 900"
"Market order: O00635, 09:48:53, BUY, 100"
"Add limit order: O00636, 09:48:54, BUY, 300, $ 28.4"
"Add limit order: O00637, 09:48:55, BUY, 100, $ 27.43"
"Market order: O00638, 09:48:56, BUY, 900"
"Add limit order: O00639, 09:48:57, BUY, 100, $ 30.22"
"Market order: O00640, 09:48:58, SELL, 500"
"Market order: O00641, 09:48:59, SELL, 700"
"Add limit order: O00642, 09:49:02, BUY, 400, $ 34.4"
"Market order: O00643, 09:49:03, BUY, 200"
"Market order: O00644, 09:49:05, BUY, 600"
"Add limit order: O00645, 09:49:06, SELL, 600, $ 39.66"
"Add limit order: O00646, 09:49:07, BUY, 300, $ 26.12"
"Market order: O00647, 09:49:10, BUY, 100"
"Market order: O00648, 09:49:11, SELL, 200"
"Add limit order: O00649, 09:49:15, SELL, 200, $ 39.07"
"Market order: O00650, 09:49:17, BUY, 200"
"Market order: O00651, 09:49:18, SELL, 200"
"Market order: O00652, 09:49:20, SELL, 200"
"Market order: O00653, 09:49:22, BUY, 200"
"Add limit order: O00654, 09:49:23, BUY, 700, $ 31.92"
"Add limit order: O00655, 09:49:27, BUY, 100, $ 30.71"
"Add limit order: O00656, 09:49:29, SELL, 100, $ 39.1"
"Add limit order: O00657, 09:49:30, BUY, 300, $ 31.67"
"Market order: O00658, 09:49:31, BUY, 400"
"Add limit order: O00659, 09:49:32, BUY, 300, $ 31.07"
"Market order: O00660, 09:49:33, SELL, 700"
"Add limit order: O00661, 09:49:34, BUY, 300, $ 34.68"
"Add limit order: O00662, 09:49:36, BUY, 400, $ 26.34"
"Add limit order: O00663, 09:49:37, BUY, 300, $ 31.15"
"Market order: O00664, 09:49:38, SELL, 600"
"Market order: O00665, 09:49:39, SELL, 100"
"Add limit order: O00666, 09:49:42, SELL, 300, $ 35.95"
"Market order: O00667, 09:49:44, SELL, 800"
"Add limit order: O00668, 09:49:46, BUY, 400, $ 28.43"
"Add limit order: O00669, 09:49:47, BUY, 600, $ 32.45"
"Add limit order: O00670, 09:49:49, BUY, 400, $ 27.5"
"Market order: O00671, 09:49:51, SELL, 500"
"Add limit order: O00672, 09:49:54, BUY, 100, $ 34.71"
"Add limit order: O00673, 09:49:57, BUY, 500, $ 26.12"
"Market order: O00674, 09:50:01, SELL, 400"
"Market order: O00675, 09:50:02, SELL, 100"
"Add limit order: O00676, 09:50:05, SELL, 200, $ 35.53"
"Add limit order: O00677, 09:50:06, SELL, 200, $ 39.92"
"Add limit order: O00678, 09:50:07, SELL, 400, $ 40.06"
"Market order: O00679, 09:50:08, BUY, 300"
"Add limit order: O00680, 09:50:09, SELL, 100, $ 40.67"
"Market order: O00681, 09:50:11, BUY, 500"
"Market order: O00682, 09:50:13, SELL, 300"
"Market order: O00683, 09:50:14, SELL, 600"
"Add limit order: O00684, 09:50:15, BUY, 200, $ 27.1"
"Add limit order: O00685, 09:50:17, SELL, 400, $ 37.78"
"Add limit order: O00686, 09:50:18, SELL, 400, $ 42.54"
"Add limit order: O00687, 09:50:19, SELL, 900, $ 42.02"
"Market order: O00688, 09:50:20, SELL, 100"
"Add limit order: O00689, 09:50:21, SELL, 400, $ 41.86"
"Add limit order: O00690, 09:50:25, BUY, 200, $ 34.47"
"Market order: O00691, 09:50:27, SELL, 400"
"Market order: O00692, 09:50:28, BUY, 200"
"Market order: O00693, 09:50:29, SELL, 300"
"Market order: O00694, 09:50:30, SELL, 100"
"Add limit order: O00695, 09:50:32, SELL, 200, $ 35.21"
"Add limit order: O00696, 09:50:36, SELL, 100, $ 43.23"
"Add limit order: O00697, 09:50:39, BUY, 100, $ 28.0"
"Add limit order: O00698, 09:50:40, SELL, 100, $ 40.35"
"Market order: O00699, 09:50:41, SELL, 400"
"Market order: O00700, 09:50:42, BUY, 300"
"Market order: O00701, 09:50:45, BUY, 600"
"Market order: O00702, 09:50:48, SELL, 300"
"Add limit order: O00703, 09:50:50, BUY, 500, $ 30.53"
"Market order: O00704, 09:50:52, BUY, 200"
"Market order: O00705, 09:50:53, SELL, 100"
"Add limit order: O00706, 09:50:55, SELL, 200, $ 36.84"
"Add limit order: O00707, 09:50:56, SELL, 700, $ 35.84"
"Market order: O00708, 09:51:02, BUY, 300"
"Add limit order: O00709, 09:51:03, BUY, 400, $ 25.22"
"Add limit order: O00710, 09:51:04, BUY, 500, $ 30.71"
"Add limit order: O00711, 09:51:06, BUY, 400, $ 31.96"
"Market order: O00712, 09:51:09, BUY, 300"
"Add limit order: O00713, 09:51:10, BUY, 300, $ 33.6"
"Add limit order: O00714, 09:51:11, SELL, 700, $ 35.31"
"Add limit order: O00715, 09:51:13, BUY, 200, $ 30.78"
"Add limit order: O00716, 09:51:21, SELL, 300, $ 41.22"
"Add limit order: O00717, 09:51:22, BUY, 200, $ 33.97"
"Add limit order: O00718, 09:51:23, BUY, 400, $ 33.44"
"Add limit order: O00719, 09:51:24, SELL, 500, $ 35.99"
"Market order: O00720, 09:51:25, BUY, 300"
"Add limit order: O00721, 09:51:26, BUY, 100, $ 28.51"
"Market order: O00722, 09:51:27, BUY, 400"
"Market order: O00723, 09:51:28, BUY, 100"
"Market order: O00724, 09:51:30, SELL, 200"
"Market order: O00725, 09:51:31, BUY, 200"
"Add limit order: O00726, 09:51:32, SELL, 200, $ 39.05"
"Add limit order: O00727, 09:51:33, BUY, 200, $ 31.71"
"Add limit order: O00728, 09:51:34, SELL, 400, $ 39.11"
"Add limit order: O00729, 09:51:35, SELL, 300, $ 43.17"
"Add limit order: O00730, 09:51:37, SELL, 300, $ 44.74"
"Market order: O00731, 09:51:39, BUY, 400"
"Market order: O00732, 09:51:40, SELL, 600"
"Add limit order: O00733, 09:51:42, SELL, 400, $ 40.68"
"Add limit order: O00734, 09:51:43, SELL, 900, $ 40.55"
"Market order: O00735, 09:51:44, BUY, 900"
"Market order: O00736, 09:51:45, SELL, 200"
"Market order: O00737, 09:51:47, SELL, 600"
"Add limit order: O00738, 09:51:50, SELL, 500, $ 41.44"
"Add limit order: O00739, 09:51:51, SELL, 300, $ 38.91"
"Market order: O00740, 09:51:55, BUY, 800"
"Add limit order: O00741, 09:51:58, SELL, 400, $ 44.67"
"Add limit order: O00742, 09:51:59, BUY, 300, $ 29.52"
"Add limit order: O00743, 09:52:02, SELL, 200, $ 37.54"
"Cancel: O00357, 09:40:29, BUY, 200, $ 25.27"
"Market order: O00744, 09:52:05, BUY, 300"
"Add limit order: O00745, 09:52:06, SELL, 700, $ 39.52"
"Add limit order: O00746, 09:52:07, SELL, 100, $ 43.61"
"Market order: O00747, 09:52:09, SELL, 400"
"Market order: O00748, 09:52:12, BUY, 100"
"Market order: O00749, 09:52:14, BUY, 200"
"Add limit order: O00750, 09:52:15, BUY, 400, $ 32.53"
"Market order: O00751, 09:52:16, BUY, 400"
"Add limit order: O00752, 09:52:18, BUY, 100, $ 33.34"
"Market order: O00753, 09:52:20, BUY, 700"
"Add limit order: O00754, 09:52:22, BUY, 700, $ 29.77"
"Market order: O00755, 09:52:23, SELL, 200"
"Market order: O00756, 09:52:25, SELL, 300"
"Market order: O00757, 09:52:26, BUY, 500"
"Add limit order: O00758, 09:52:27, SELL, 100, $ 44.17"
"Add limit order: O00759, 09:52:28, BUY, 400, $ 30.42"
"Market order: O00760, 09:52:29, BUY, 900"
"Market order: O00761, 09:52:30, BUY, 400"
"Add limit order: O00762, 09:52:34, SELL, 200, $ 38.29"
"Add limit order: O00763, 09:52:35, BUY, 200, $ 31.75"
"Market order: O00764, 09:52:36, SELL, 200"
"Add limit order: O00765, 09:52:37, BUY, 900, $ 29.37"
"Add limit order: O00766, 09:52:38, SELL, 600, $ 37.78"
"Add limit order: O00767, 09:52:39, BUY, 600, $ 30.73"
"Add limit order: O00768, 09:52:41, BUY, 200, $ 29.76"
"Market order: O00769, 09:52:42, SELL, 300"
"Market order: O00770, 09:52:45, BUY, 400"
"Add limit order: O00771, 09:52:47, BUY, 400, $ 26.47"
"Add limit order: O00772, 09:52:48, SELL, 400, $ 39.41"
"Add limit order: O00773, 09:52:49, SELL, 700, $ 42.99"
"Add limit order: O00774, 09:52:50, BUY, 200, $ 28.2"
"Add limit order: O00775, 09:52:51, BUY, 100, $ 25.84"
"Market order: O00776, 09:52:53, SELL, 800"
"Add limit order: O00777, 09:52:55, SELL, 400, $ 38.82"
"Add limit order: O00778, 09:52:58, SELL, 500, $ 35.72"
"Add limit order: O00779, 09:53:00, SELL, 200, $ 37.15"
"Market order: O00780, 09:53:02, BUY, 300"
"Add limit order: O00781, 09:53:04, BUY, 400, $ 27.59"
"Add limit order: O00782, 09:53:06, SELL, 600, $ 44.9"
"Add limit order: O00783, 09:53:07, BUY, 600, $ 34.53"
"Add limit order: O00784, 09:53:08, BUY, 600, $ 27.25"
"Cancel: O00098, 09:32:59, BUY, 700, $ 27.95"
"Market order: O00785, 09:53:13, BUY, 300"
"Market order: O00786, 09:53:14, BUY, 200"
"Add limit order: O00787, 09:53:16, SELL, 300, $ 37.54"
"Market order: O00788, 09:53:17, BUY, 500"
"Add limit order: O00789, 09:53:18, SELL, 600, $ 40.74"
"Add limit order: O00790, 09:53:20, BUY, 400, $ 28.92"
"Add limit order: O00791, 09:53:24, SELL, 900, $ 41.62"
"Market order: O00792, 09:53:25, SELL, 500"
"Add limit order: O00793, 09:53:26, SELL, 500, $ 43.18"
"Add limit order: O00794, 09:53:27, SELL, 100, $ 36.13"
"Market order: O00795, 09:53:29, BUY, 900"
"Market order: O00796, 09:53:31, SELL, 700"
"Add limit order: O00797, 09:53:32, SELL, 100, $ 42.76"
"Market order: O00798, 09:53:33, SELL, 500"
"Add limit order: O00799, 09:53:37, SELL, 300, $ 40.1"
"Add limit order: O00800, 09:53:38, BUY, 600, $ 25.6"
"Market order: O00801, 09:53:39, SELL, 300"
"Market order: O00802, 09:53:40, SELL, 800"
"Add limit order: O00803, 09:53:41, BUY, 200, $ 29.49"
"Add limit order: O00804, 09:53:42, BUY, 600, $ 33.39"
"Add limit order: O00805, 09:53:43, BUY, 200, $ 26.32"
"Add limit order: O00806, 09:53:47, BUY, 600, $ 30.61"
"Market order: O00807, 09:53:48, SELL, 200"
"Add limit order: O00808, 09:53:49, BUY, 400, $ 26.87"
"Market order: O00809, 09:53:50, SELL, 300"
"Market order: O00810, 09:53:52, BUY, 600"
"Market order: O00811, 09:53:53, BUY, 300"
"Market order: O00812, 09:53:54, SELL, 300"
"Market order: O00813, 09:53:57, BUY, 200"
"Add limit order: O00814, 09:53:58, SELL, 300, $ 41.46"
"Market order: O00815, 09:53:59, SELL, 100"
"Market order: O00816, 09:54:01, BUY, 300"
"Add limit order: O00817, 09:54:02, BUY, 700, $ 28.41"
"Add limit order: O00818, 09:54:03, BUY, 100, $ 26.54"
"Market order: O00819, 09:54:04, SELL, 300"
"Add limit order: O00820, 09:54:05, BUY, 200, $ 28.3"
"Add limit order: O00821, 09:54:06, SELL, 500, $ 42.11"
"Add limit order: O00822, 09:54:07, BUY, 600, $ 34.18"
"Market order: O00823, 09:54:08, SELL, 700"
"Add limit order: O00824, 09:54:10, BUY, 100, $ 32.79"
"Add limit order: O00825, 09:54:11, BUY, 400, $ 27.31"
"Add limit order: O00826, 09:54:12, BUY, 500, $ 28.57"
"Market order: O00827, 09:54:13, BUY, 200"
"Cancel: O00124, 09:33:42, SELL, 700, $ 44.52"
"Add limit order: O00828, 09:54:19, BUY, 100, $ 28.61"
"Add limit order: O00829, 09:54:21, BUY, 800, $ 34.86"
"Add limit order: O00830, 09:54:22, BUY, 400, $ 27.02"
"Market order: O00831, 09:54:27, SELL, 500"
"Cancel: O00010, 09:30:19, SELL, 300, $ 43.17"
"Add limit order: O00832, 09:54:30, SELL, 100, $ 37.26"
"Add limit order: O00833, 09:54:31, BUY, 200, $ 26.64"
"Add limit order: O00834, 09:54:32, SELL, 600, $ 39.57"
"Add limit order: O00835, 09:54:36, BUY, 800, $ 29.75"
"Add limit order: O00836, 09:54:37, SELL, 100, $ 36.97"
"Add limit order: O00837, 09:54:38, SELL, 100, $ 43.45"
"Market order: O00838, 09:54:39, BUY, 200"
"Add limit order: O00839, 09:54:40, SELL, 400, $ 41.88"
"Market order: O00840, 09:54:41, BUY, 500"
"Add limit order: O00841, 09:54:42, SELL, 600, $ 43.25"
"Market order: O00842, 09:54:43, SELL, 100"
"Add limit order: O00843, 09:54:44, SELL, 500, $ 37.44"
"Add limit order: O00844, 09:54:45, BUY, 300, $ 26.58"
"Add limit order: O00845, 09:54:47, SELL, 400, $ 35.39"
"Market order: O00846, 09:54:48, SELL, 700"
"Add limit order: O00847, 09:54:49, SELL, 900, $ 39.44"
"Market order: O00848, 09:54:50, SELL, 600"
"Add limit order: O00849, 09:54:54, BUY, 700, $ 34.81"
"Market order: O00850, 09:54:55, SELL, 300"
"Market order: O00851, 09:54:56, SELL, 100"
"Add limit order: O00852, 09:54:57, SELL, 100, $ 39.67"
"Add limit order: O00853, 09:54:58, BUY, 100, $ 26.59"
"Add limit order: O00854, 09:55:00, BUY, 400, $ 28.99"
"Add limit order: O00855, 09:55:01, BUY, 800, $ 33.27"
"Market order: O00856, 09:55:02, SELL, 100"
"Market order: O00857, 09:55:03, SELL, 600"
"Market order: O00858, 09:55:05, SELL, 900"
"Market order: O00859, 09:55:07, SELL, 500"
